cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Belize,271.3333333333333,10.333333333333334,30.0,14.333333333333334,10.0,0.3333333333333333,73.3205566406,64.7009658813,67.6039428711,42.3228683472,4,0.6700852026365677,-0.812841762218331,4
Bhutan,538.0,25.0,61.0,22.0,14.0,0.0,74.8764266968,64.5910110474,60.421710968,12.1773099899,1,-2.1599473639434708,1.4341117789751807,1
Bolivia (Plurinational State of),705.0,22.0,96.5,30.0,13.0,0.0,62.8742141724,58.7945518494,65.062286377,28.6803703308,1,-4.378108153860197,2.03242604487373,1
Bosnia and Herzegovina,82.0,8.0,1.0,2.0,3.0,3.0,72.5552520752,63.8795089722,66.4711227417,21.1939105988,4,3.1905399224711846,-2.579698639897574,4
Brazil,331.8333333333333,15.75,36.291666666666664,13.541666666666666,6.708333333333333,0.5,69.0441131592,61.8265342712,80.4168777466,28.1418399811,4,0.10963734715906298,-0.39543099034951895,4
Bulgaria,265.6666666666667,12.666666666666666,29.666666666666668,10.0,8.333333333333334,0.0,71.3058624268,60.4222488403,73.4856033325,20.5876407623,4,0.250921493489051,-1.3491850885233632,4
Cambodia,252.2,10.8,31.0,11.2,8.4,1.6,68.9239959717,61.9665412903,57.9848899841,4.36388015747,4,0.2883917466795436,-1.7612464954360312,4
Canada,335.141975308642,16.99390243902439,32.21951219512195,14.146341463414634,8.50609756097561,0.9329268292682927,83.8149795532,68.9299316406,91.0379180908,26.2271194458,2,1.8692034323975033,1.2430865610624333,2
Central African Republic,538.0,25.0,61.0,22.0,14.0,0.0,55.3790016174,43.784740448,32.261920929,9.2961397171,3,-5.597981610048957,-1.7689792688359092,3
Chile,295.9,14.791666666666666,28.041666666666668,12.5,12.583333333333334,0.75,76.6899871826,67.0538635254,82.2782211304,38.9146118164,4,1.3725289730411026,0.15003564598249136,4
China,363.61971830985914,18.051643192488264,27.610328638497652,22.64788732394366,13.070422535211268,1.3849765258215962,77.6161956787,70.076499939,81.0355072021,8.27952957153,2,0.8767994342921183,1.100126242613967,2
Colombia,405.9,29.1,30.5,7.3,10.9,0.9,74.5329742432,63.290851593,79.5732574463,23.6154708862,2,0.14322659789600395,0.6041647325957128,2
Costa Rica,883.0,19.333333333333332,140.33333333333334,38.666666666666664,5.666666666666667,0.6666666666666666,81.5060272217,69.0520095825,81.081413269,31.3876094818,1,-3.3143693024697423,5.912957385867222,1
