cuisine,avg_eco_score,std_eco_score,num_recipes,sub_region,continent
Sweden,91.7375,116.27278575196236,24,Northern Europe,Europe
Switzerland,27.284375,33.33567409455986,32,Western Europe,Europe
Syrian Arab Republic,63.91538461538461,65.91557537428523,13,Western Asia,Asia
Thailand,34.527142857142856,43.23605219154185,70,South-Eastern Asia,Asia
Trinidad and Tobago,12.0,4.242640687119285,2,Caribbean,Americas
Tunisia,29.325,37.79767008211437,12,Northern Africa,Africa
Turkey,40.116279069767444,45.050569100747424,43,Western Asia,Asia
Ukraine,42.11904761904762,45.76156268144281,21,Eastern Europe,Europe
United Kingdom of Great Britain and Northern Ireland,24.541176470588237,32.66844920606749,17,Northern Europe,Europe
United States,41.89625468164794,48.667282870631695,267,Northern America,Americas
Uruguay,32.1,,1,South America,Americas
Uzbekistan,46.7,40.02224381515859,2,Central Asia,Asia
Venezuela (Bolivarian Republic of),14.7125,5.169260101794066,8,South America,Americas
Viet Nam,47.61666666666667,50.91309211507339,66,Southeast Asia,Asia
Yemen,16.8,,1,Western Asia,Asia
Zimbabwe,34.5,,1,Eastern Africa,Africa
