cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class,sub_region,PCA1,PCA2,cluster
France,164,10.426829268292684,1.8170731707317076,0.3353658536585366,0.1829268292682926,0.1707317073170731,0.0670731707317073,0.1524390243902439,0.1890243902439024,0.1219512195121951,0.3719512195121951,0.5426829268292683,0.4573170731707317,0.0975609756097561,0.0670731707317073,0.0304878048780487,0.1341463414634146,0.6097560975609756,0.0975609756097561,0.5365853658536586,0.1158536585365853,0.2682926829268293,0.0,0.0060975609756097,0.4024390243902439,40694.8211697025,41082.8119320747,0.0095341557284212,High Income,Western Europe,1.4128964405897075,-1.0534808307538448,2
Georgia,3,4.333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3281.72930937343,6729.84659930283,1.0507013116775734,Upper-Middle Income,Western Asia,-1.2224579169177836,0.2051283984358053,1
Germany,149,9.14765100671141,0.8859060402684564,0.1208053691275167,0.3020134228187919,0.046979865771812,0.0,0.2818791946308724,0.1409395973154362,0.0939597315436241,0.4697986577181208,0.5436241610738255,0.4228187919463087,0.1073825503355704,0.0201342281879194,0.0,0.1006711409395973,0.6711409395973155,0.2147651006711409,0.5503355704697986,0.0335570469798657,0.3892617449664429,0.0,0.0805369127516778,0.3557046979865771,42409.9356994694,49686.1154582583,0.1715678092593742,High Income,Western Europe,0.5273705852922339,-1.1166022947734386,2
Greece,298,10.036912751677852,0.5838926174496645,0.1241610738255033,0.110738255033557,0.1140939597315436,0.0268456375838926,0.5033557046979866,0.4630872483221476,0.0771812080536912,0.1711409395973154,0.6610738255033557,0.4261744966442953,0.1644295302013423,0.0268456375838926,0.0335570469798657,0.0570469798657718,0.6073825503355704,0.2449664429530201,0.3187919463087248,0.0067114093959731,0.4429530201342282,0.046979865771812,0.0067114093959731,0.1476510067114094,26653.0488008626,20971.8349258283,-0.2131543718499638,High Income,Southern Europe,-0.372561020865917,-0.7188260448429232,1
Guatemala,5,7.0,0.2,0.0,0.0,0.4,0.0,0.6,0.0,0.8,0.2,0.6,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.0,0.0,0.2,2805.25960237322,5358.08963795,0.9100156126075152,Upper-Middle Income,Central America,-1.154451083448828,0.4517207526707353,1
Guinea,1,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,659.235326211315,1416.59612011764,1.1488474051579516,Lower-Middle Income,Western Africa,-1.0939367739552202,1.200080772112403,1
Guyana,3,7.666666666666667,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,4581.76179693492,17913.4910146288,2.909738613345735,High Income,South America,0.0868812325222329,2.2627343642447744,3
Haiti,6,8.333333333333334,0.5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.1666666666666666,1209.72733503094,1760.62635668777,0.4553910668165074,Lower-Middle Income,Caribbean,-0.8810601037293229,0.1929212281552914,1
Honduras,4,8.5,0.5,0.0,0.0,0.5,0.0,0.5,0.25,0.5,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.25,1893.32722662035,3003.28996826399,0.5862498178008875,Lower-Middle Income,Central America,-0.8107321674606471,0.3220193422843988,1
Hungary,22,14.727272727272728,2.0,0.4090909090909091,0.2727272727272727,0.2272727272727272,0.0,0.4090909090909091,0.1363636363636363,0.0454545454545454,0.3636363636363636,0.4545454545454545,0.6363636363636364,0.1818181818181818,0.0909090909090909,0.0,0.0,0.6363636363636364,0.2272727272727272,0.6363636363636364,0.0,0.6363636363636364,0.0,0.1363636363636363,0.3181818181818182,13217.5045951108,18353.298364905,0.3885600139449883,High Income,Eastern Europe,1.6452859926544028,0.3745557013090859,3
Iceland,4,9.75,1.25,0.25,0.25,0.0,0.25,0.25,0.5,0.0,0.75,1.0,0.5,0.25,0.0,0.25,0.0,1.0,0.5,0.25,0.0,0.75,0.0,0.0,0.5,43237.0729488958,75314.085560994,0.7418867750370551,High Income,Northern Europe,1.6168715819631667,-1.0698706944076517,2
India,190,17.16842105263158,1.0947368421052632,0.2473684210526315,0.0947368421052631,0.1894736842105263,0.0368421052631578,0.6263157894736842,0.1736842105263158,0.1631578947368421,0.231578947368421,0.7157894736842105,0.8263157894736842,0.1842105263157894,0.1105263157894736,0.1157894736842105,0.0263157894736842,0.7947368421052632,0.0631578947368421,0.5526315789473685,0.0,0.7263157894736842,0.0,0.1105263157894736,0.0263157894736842,1347.51939071367,2352.61392452078,0.7458850245374163,Lower-Middle Income,Southern Asia,0.6926894229716355,1.5377514487685369,3
Indonesia,25,18.56,1.88,0.04,0.12,0.36,0.36,0.36,0.4,0.16,0.44,0.72,0.48,0.08,0.08,0.12,0.0,0.48,0.28,0.56,0.04,0.8,0.0,0.0,0.16,3065.68348366636,4730.74548910499,0.5431291306848556,Upper-Middle Income,South-Eastern Asia,1.6546471443156834,1.3480869753163327,3
Iran (Islamic Republic of),44,9.840909090909092,0.4545454545454545,0.0909090909090909,0.2045454545454545,0.2045454545454545,0.0227272727272727,0.3409090909090909,0.4090909090909091,0.25,0.1818181818181818,0.5909090909090909,0.7045454545454546,0.0909090909090909,0.1136363636363636,0.0909090909090909,0.0681818181818181,0.75,0.0227272727272727,0.5454545454545454,0.0227272727272727,0.6136363636363636,0.0227272727272727,0.0,0.1363636363636363,,,,Unknown,Southern Asia,-0.9125995933814924,-0.0384780099000636,1
