cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class
Iceland,4,9.75,1.25,0.25,0.25,0.0,0.25,0.25,0.5,0.0,0.75,1.0,0.5,0.25,0.0,0.25,0.0,1.0,0.5,0.25,0.0,0.75,0.0,0.0,0.5,43237.0729488958,75314.085560994,0.7418867750370551,High Income
India,190,17.16842105263158,1.0947368421052632,0.24736842105263157,0.09473684210526316,0.18947368421052632,0.03684210526315789,0.6263157894736842,0.1736842105263158,0.1631578947368421,0.23157894736842105,0.7157894736842105,0.8263157894736842,0.18421052631578946,0.11052631578947368,0.11578947368421053,0.02631578947368421,0.7947368421052632,0.06315789473684211,0.5526315789473685,0.0,0.7263157894736842,0.0,0.11052631578947368,0.02631578947368421,1347.51939071367,2352.61392452078,0.7458850245374163,Lower-Middle Income
Indonesia,25,18.56,1.88,0.04,0.12,0.36,0.36,0.36,0.4,0.16,0.44,0.72,0.48,0.08,0.08,0.12,0.0,0.48,0.28,0.56,0.04,0.8,0.0,0.0,0.16,3065.68348366636,4730.74548910499,0.5431291306848556,Upper-Middle Income
Iran (Islamic Republic of),44,9.840909090909092,0.45454545454545453,0.09090909090909091,0.20454545454545456,0.20454545454545456,0.022727272727272728,0.3409090909090909,0.4090909090909091,0.25,0.18181818181818182,0.5909090909090909,0.7045454545454546,0.09090909090909091,0.11363636363636363,0.09090909090909091,0.06818181818181818,0.75,0.022727272727272728,0.5454545454545454,0.022727272727272728,0.6136363636363636,0.022727272727272728,0.0,0.13636363636363635,,,,Unknown
Iraq,3,6.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,4461.75196161555,6504.12428393548,0.4577512017455158,Upper-Middle Income
Ireland,24,13.708333333333334,1.625,0.3333333333333333,0.2916666666666667,0.125,0.0,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.5,0.5833333333333334,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.0,0.0,0.75,0.08333333333333333,0.8333333333333334,0.125,0.2916666666666667,0.0,0.08333333333333333,0.5,48679.4026820361,106194.755859223,1.1815131248192468,High Income
Israel,21,7.380952380952381,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.3333333333333333,0.0,0.5714285714285714,0.5238095238095238,0.23809523809523808,0.047619047619047616,0.6666666666666666,0.3333333333333333,0.19047619047619047,0.0,0.0,0.0,0.5238095238095238,0.19047619047619047,0.3333333333333333,0.0,0.5714285714285714,0.0,0.0,0.0,31338.5568903917,54930.7261602593,0.7528160710265788,High Income
Italy,227,9.568281938325992,1.2334801762114538,0.2599118942731278,0.30837004405286345,0.21585903083700442,0.05726872246696035,0.32599118942731276,0.10572687224669604,0.05726872246696035,0.29515418502202645,0.5242290748898678,0.3920704845814978,0.20704845814977973,0.04405286343612335,0.039647577092511016,0.09251101321585903,0.5682819383259912,0.05726872246696035,0.47577092511013214,0.04405286343612335,0.43612334801762115,0.09251101321585903,0.004405286343612335,0.3568281938325991,36184.7118698678,35635.7442204098,-0.015171259382478286,High Income
Jamaica,48,12.8125,0.6666666666666666,0.041666666666666664,0.14583333333333334,0.20833333333333334,0.020833333333333332,0.25,0.3125,0.08333333333333333,0.4375,0.6666666666666666,0.7083333333333334,0.3125,0.020833333333333332,0.041666666666666664,0.0,0.7291666666666666,0.16666666666666666,0.5,0.0,0.5416666666666666,0.0,0.041666666666666664,0.14583333333333334,4809.977380312,6022.15341099999,0.25201283391677043,Upper-Middle Income
Japan,160,11.0375,0.925,0.025,0.175,0.10625,0.14375,0.35,0.05,0.2875,0.31875,0.425,0.125,0.0125,0.0125,0.0125,0.04375,0.35625,0.475,0.5125,0.0,0.4875,0.0,0.04375,0.2625,44968.1562349739,34017.2718075024,-0.24352531534202576,High Income
Jordan,1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3718.46571622945,4332.25159897931,0.16506428446306692,Upper-Middle Income
Korea (Democratic People's Republic of),1,30.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,Unknown
"Korea, Republic of",124,12.290322580645162,1.032258064516129,0.04032258064516129,0.16129032258064516,0.10483870967741936,0.056451612903225805,0.3467741935483871,0.07258064516129033,0.20967741935483872,0.46774193548387094,0.5645161290322581,0.33064516129032256,0.016129032258064516,0.024193548387096774,0.06451612903225806,0.0,0.4435483870967742,0.5645161290322581,0.4274193548387097,0.0,0.7741935483870968,0.0,0.20967741935483872,0.18548387096774194,,,,Unknown
Kuwait,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39212.2726673435,40077.238047746,0.02205853732938195,High Income
Latvia,3,4.666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,11188.4191700977,20229.4613617326,0.8080714580124146,High Income
Lebanon,54,10.222222222222221,0.5,0.09259259259259259,0.12962962962962962,0.05555555555555555,0.0,0.3148148148148148,0.4444444444444444,0.14814814814814814,0.18518518518518517,0.6666666666666666,0.5,0.12962962962962962,0.09259259259259259,0.07407407407407407,0.16666666666666666,0.7592592592592593,0.1111111111111111,0.5185185185185185,0.0,0.4074074074074074,0.0,0.018518518518518517,0.05555555555555555,7625.81051551165,3654.35845534878,-0.5207908132630027,Lower-Middle Income
Liberia,1,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,492.252808033724,744.617175237387,0.5126722754751123,Low Income
Lithuania,7,6.714285714285714,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,11829.122609457,25085.784063499,1.1206800277345785,High Income
Malaysia,30,16.533333333333335,1.9333333333333333,0.13333333333333333,0.23333333333333334,0.16666666666666666,0.3,0.3,0.3333333333333333,0.2,0.4666666666666667,0.6,0.36666666666666664,0.16666666666666666,0.1,0.13333333333333333,0.03333333333333333,0.5333333333333333,0.3,0.5,0.03333333333333333,0.7,0.0,0.0,0.1,8899.34505544675,11748.0919307944,0.32010747505560583,Upper-Middle Income
Mali,1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,670.369098976461,813.965034073188,0.21420428733360983,Low Income
Malta,2,10.5,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,21946.6069676515,36142.2058531852,0.646824308944772,High Income
Mexico,250,8.34,0.456,0.252,0.26,0.284,0.02,0.4,0.192,0.208,0.052,0.476,0.432,0.12,0.0,0.052,0.292,0.556,0.096,0.304,0.008,0.628,0.0,0.004,0.1,9728.80078377082,11385.4070757929,0.17027857069347774,Upper-Middle Income
Mongolia,14,14.285714285714286,1.5,0.0,0.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.8571428571428571,0.6428571428571429,0.0,0.6428571428571429,0.0,0.14285714285714285,0.0,2625.21881402433,4993.51487463495,0.9021328233512615,Upper-Middle Income
Morocco,24,23.375,0.2916666666666667,0.041666666666666664,0.125,0.25,0.041666666666666664,0.5833333333333334,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.7916666666666666,0.8333333333333334,0.16666666666666666,0.0,0.20833333333333334,0.0,0.6666666666666666,0.16666666666666666,0.20833333333333334,0.0,0.7916666666666666,0.0,0.0,0.0,3067.9853515625,3455.39624023438,0.12627533846423836,Lower-Middle Income
Myanmar,6,11.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,1010.53417343401,1158.05005034332,0.1459781180957193,Lower-Middle Income
Netherlands,43,8.348837209302326,0.813953488372093,0.0,0.13953488372093023,0.09302325581395349,0.023255813953488372,0.18604651162790697,0.16279069767441862,0.11627906976744186,0.46511627906976744,0.6744186046511628,0.5348837209302325,0.09302325581395349,0.09302325581395349,0.0,0.06976744186046512,0.627906976744186,0.046511627906976744,0.6744186046511628,0.09302325581395349,0.2558139534883721,0.0,0.023255813953488372,0.6744186046511628,51305.7338533973,59123.318556487,0.15237253452855626,High Income
New Zealand,17,17.764705882352942,2.176470588235294,0.11764705882352941,0.11764705882352941,0.0,0.0,0.058823529411764705,0.29411764705882354,0.4117647058823529,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.058823529411764705,0.0,0.0,0.058823529411764705,0.4117647058823529,0.17647058823529413,0.5294117647058824,0.058823529411764705,0.29411764705882354,0.0,0.0,0.35294117647058826,33676.7741239925,48216.5095836302,0.43174371173749343,High Income
Nicaragua,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.56185349171,2325.16737851871,0.5231399718264588,Lower-Middle Income
Nigeria,4,5.75,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.5,0.0,0.0,0.0,2202.25672957344,2139.37478476974,-0.028553412487870997,Lower-Middle Income
